source,target
LuisMauretLeon,pilijarrin
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,verosevillaec
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,verosevillaec
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,verosevillaec
LuisMauretLeon,verosevillaec
LuisMauretLeon,ecuarauz
LuisMauretLeon,GuillermoCeli
LuisMauretLeon,IderValverde
LuisMauretLeon,SandraHidalgoEC
LuisMauretLeon,ElNegroHojas
LuisMauretLeon,mauriciosalemec
LuisMauretLeon,23Suma
Intavit_A,Marckittox
Intavit_A,Danielsalcan88
Intavit_A,juanmarpaz
Intavit_A,Danielsalcan88
Intavit_A,AliciaJBenitez1
Intavit_A,piedypv
Intavit_A,PabloCastilloM
Intavit_A,AlmaMiaEcu
Intavit_A,Rebelde2020Mai
Intavit_A,SDegreace
Intavit_A,raisa_vulgarin
Intavit_A,ecuarauz
Intavit_A,piedypv
Intavit_A,RuthdelSalto
Intavit_A,ecuarauz
Intavit_A,atitedigo67
Intavit_A,fabriciovelav
Intavit_A,MiguPar
Intavit_A,atitedigo67
Intavit_A,SDegreace
Intavit_A,NTN24
Intavit_A,jlfernandez
Intavit_A,ChuckBerry50s
Intavit_A,cecipachay1
Intavit_A,lizzhingri
Intavit_A,Marckittox
Intavit_A,Danielsalcan88
Ec1EcE,RenegadoGye
Ec1EcE,MaryRom33170612
Ec1EcE,el_telegrafo
Ec1EcE,LassoGuillermo
Ec1EcE,CREOEcuador
Ec1EcE,elcomerciocom
Ec1EcE,isidroromero_c
Ec1EcE,justicevera25
Ec1EcE,AsambleaEcuador
Ec1EcE,cesarlitardo
Ec1EcE,ecuarauz
Ec1EcE,RenegadoGye
Ec1EcE,MaryRom33170612
Ec1EcE,el_telegrafo
Ec1EcE,LassoGuillermo
Ec1EcE,CREOEcuador
Ec1EcE,LassoGuillermo
Ec1EcE,el_telegrafo
Ec1EcE,LucioGutierrez3
Ec1EcE,LucioGutierrez3
Ec1EcE,el_telegrafo
Ec1EcE,LassoGuillermo
Ec1EcE,CREOEcuador
Ec1EcE,LassoGuillermo
Ec1EcE,LassoGuillermo
Ec1EcE,ecuarauz
Ec1EcE,ecuarauz
Ec1EcE,MashiRafael
Ec1EcE,cnegobec
Ec1EcE,fabriciocorread
Ec1EcE,natyco
Ec1EcE,SalimZaidan
Ec1EcE,ecuarauz
Ec1EcE,Gabybuchelip
Ec1EcE,FiscaliaEcuador
Ec1EcE,DianaSalazarM2
Ec1EcE,CNACEcuador
Ec1EcE,ecuarauz
Ec1EcE,LoroHomero
Ec1EcE,LoroHomero
Ec1EcE,MashiRafael
Ec1EcE,ecuarauz
Ec1EcE,MashiRafael
Ec1EcE,MashiRafael
Ec1EcE,ecuarauz
CesarCoronelEc,jeffsanguna
CesarCoronelEc,LATAM_ECU
KevinDavidQ,fernandoceronv
KevinDavidQ,zamoramaria266
KevinDavidQ,Mijael56736491
KevinDavidQ,gaby_pareja
KevinDavidQ,Tex2795
KevinDavidQ,MashiRafael
KevinDavidQ,fernandoceronv
KevinDavidQ,gabriel_landeta
KevinDavidQ,MetroEcuador
KevinDavidQ,ecuarauz
KevinDavidQ,krncita7
KevinDavidQ,BelenEJS
KevinDavidQ,Jorge_amarillo
KevinDavidQ,Zambrano13Edu
KevinDavidQ,Zambrano13Edu
KevinDavidQ,Jorge_amarillo
KevinDavidQ,ismaelquintanag
KevinDavidQ,karennunezr
KevinDavidQ,Albotermo
KevinDavidQ,gabbarinista
KevinDavidQ,rodavec65
KevinDavidQ,LassoGuillermo
KevinDavidQ,soy_tibi
