Source,Target,Type,Id,Label,timeset,Weight
LuisMauretLeon,pilijarrin,Directed,0,,,1
LuisMauretLeon,GuillermoCeli,Directed,1,,,8
LuisMauretLeon,verosevillaec,Directed,4,,,4
LuisMauretLeon,ecuarauz,Directed,12,,,1
LuisMauretLeon,IderValverde,Directed,14,,,1
LuisMauretLeon,SandraHidalgoEC,Directed,15,,,1
LuisMauretLeon,ElNegroHojas,Directed,16,,,1
LuisMauretLeon,mauriciosalemec,Directed,17,,,1
LuisMauretLeon,23Suma,Directed,18,,,1
Intavit_A,Marckittox,Directed,19,,,2
Intavit_A,Danielsalcan88,Directed,20,,,3
Intavit_A,juanmarpaz,Directed,21,,,1
Intavit_A,AliciaJBenitez1,Directed,23,,,1
Intavit_A,piedypv,Directed,24,,,2
Intavit_A,PabloCastilloM,Directed,25,,,1
Intavit_A,AlmaMiaEcu,Directed,26,,,1
Intavit_A,Rebelde2020Mai,Directed,27,,,1
Intavit_A,SDegreace,Directed,28,,,2
Intavit_A,raisa_vulgarin,Directed,29,,,1
Intavit_A,ecuarauz,Directed,30,,,2
Intavit_A,RuthdelSalto,Directed,32,,,1
Intavit_A,atitedigo67,Directed,34,,,2
Intavit_A,fabriciovelav,Directed,35,,,1
Intavit_A,MiguPar,Directed,36,,,1
Intavit_A,NTN24,Directed,39,,,1
Intavit_A,jlfernandez,Directed,40,,,1
Intavit_A,ChuckBerry50s,Directed,41,,,1
Intavit_A,cecipachay1,Directed,42,,,1
Intavit_A,lizzhingri,Directed,43,,,1
Ec1EcE,RenegadoGye,Directed,46,,,2
Ec1EcE,MaryRom33170612,Directed,47,,,2
Ec1EcE,el_telegrafo,Directed,48,,,4
Ec1EcE,LassoGuillermo,Directed,49,,,6
Ec1EcE,CREOEcuador,Directed,50,,,3
Ec1EcE,elcomerciocom,Directed,51,,,1
Ec1EcE,isidroromero_c,Directed,52,,,1
Ec1EcE,justicevera25,Directed,53,,,1
Ec1EcE,AsambleaEcuador,Directed,54,,,1
Ec1EcE,cesarlitardo,Directed,55,,,1
Ec1EcE,ecuarauz,Directed,56,,,7
Ec1EcE,LucioGutierrez3,Directed,64,,,2
Ec1EcE,MashiRafael,Directed,73,,,4
Ec1EcE,cnegobec,Directed,74,,,1
Ec1EcE,fabriciocorread,Directed,75,,,1
Ec1EcE,natyco,Directed,76,,,1
Ec1EcE,SalimZaidan,Directed,77,,,1
Ec1EcE,Gabybuchelip,Directed,79,,,1
Ec1EcE,FiscaliaEcuador,Directed,80,,,1
Ec1EcE,DianaSalazarM2,Directed,81,,,1
Ec1EcE,CNACEcuador,Directed,82,,,1
Ec1EcE,LoroHomero,Directed,84,,,2
CesarCoronelEc,jeffsanguna,Directed,91,,,1
CesarCoronelEc,LATAM_ECU,Directed,92,,,1
KevinDavidQ,fernandoceronv,Directed,93,,,2
KevinDavidQ,zamoramaria266,Directed,94,,,1
KevinDavidQ,Mijael56736491,Directed,95,,,1
KevinDavidQ,gaby_pareja,Directed,96,,,1
KevinDavidQ,Tex2795,Directed,97,,,1
KevinDavidQ,MashiRafael,Directed,98,,,5
KevinDavidQ,gabriel_landeta,Directed,100,,,1
KevinDavidQ,MetroEcuador,Directed,101,,,1
KevinDavidQ,ecuarauz,Directed,102,,,1
KevinDavidQ,krncita7,Directed,103,,,1
KevinDavidQ,BelenEJS,Directed,104,,,1
KevinDavidQ,Jorge_amarillo,Directed,105,,,2
KevinDavidQ,Zambrano13Edu,Directed,106,,,2
KevinDavidQ,ismaelquintanag,Directed,109,,,1
KevinDavidQ,karennunezr,Directed,110,,,1
KevinDavidQ,Albotermo,Directed,111,,,1
KevinDavidQ,gabbarinista,Directed,112,,,1
KevinDavidQ,rodavec65,Directed,113,,,2
KevinDavidQ,LassoGuillermo,Directed,114,,,1
KevinDavidQ,soy_tibi,Directed,115,,,1
KevinDavidQ,AndresSantosA,Directed,118,,,1
KevinDavidQ,Doceloz,Directed,119,,,3
KevinDavidQ,orlandojonatha2,Directed,120,,,3
KevinDavidQ,Garyguevara23,Directed,121,,,3
GoverLeonCanto1,christianzr,Directed,131,,,1
GoverLeonCanto1,martharoldos,Directed,132,,,1
GoverLeonCanto1,ecuarauz,Directed,133,,,4
GoverLeonCanto1,rabascallcarlos,Directed,136,,,1
GoverLeonCanto1,AP_Kost,Directed,137,,,1
GoverLeonCanto1,PrensaDelBanano,Directed,138,,,1
GoverLeonCanto1,monadeurdesa,Directed,140,,,1
GoverLeonCanto1,byronvicua,Directed,141,,,1
GoverLeonCanto1,cubalondra,Directed,142,,,1
GoverLeonCanto1,isidroromero_c,Directed,143,,,1
GoverLeonCanto1,luisevivanco,Directed,144,,,1
GoverLeonCanto1,LoroHomero,Directed,145,,,1
Moniasper,UnoConPierina,Directed,146,,,1
Moniasper,ecuarauz,Directed,147,,,1
Moniasper,MashiRafael,Directed,148,,,1
Moniasper,nahomarcela15,Directed,149,,,1
Moniasper,MarcoAnibal,Directed,150,,,1
Moniasper,16Bauti,Directed,151,,,1
fjnunez90,NorwalkCurtis,Directed,152,,,1
fjnunez90,isidroromero_c,Directed,153,,,1
LeoOrlandoE,Axlbarceguns,Directed,154,,,1
soyalico,Dr_PEMP,Directed,155,,,1
soyalico,chrisviteri,Directed,156,,,2
soyalico,ecuarauz,Directed,157,,,2
soyalico,luisesgo,Directed,158,,,1
soyalico,MashiRafael,Directed,159,,,4
soyalico,omarmaluk,Directed,160,,,1
soyalico,AbAlvaroNoboa,Directed,163,,,1
soyalico,CIDH,Directed,166,,,1
soyalico,AndresArauz2021,Directed,168,,,1
kamaradaDavid,PABLOJIJON,Directed,169,,,1
kamaradaDavid,LibiaChaluisa,Directed,170,,,1
kamaradaDavid,ecuarauz,Directed,171,,,5
kamaradaDavid,AlmaMiaEcu,Directed,172,,,4
kamaradaDavid,jpjaramillo25,Directed,173,,,5
kamaradaDavid,MashiRafael,Directed,174,,,2
kamaradaDavid,xaguilarv,Directed,176,,,1
kamaradaDavid,XimenaPena1,Directed,177,,,1
kamaradaDavid,Lenin,Directed,178,,,1
kamaradaDavid,RevelacionesEcu,Directed,179,,,1
kamaradaDavid,GKecuador,Directed,181,,,1
kamaradaDavid,ecuadorverifica,Directed,182,,,1
kamaradaDavid,consuemary,Directed,183,,,1
kamaradaDavid,cendemocratico,Directed,185,,,1
kamaradaDavid,LuisBarrezuet13,Directed,186,,,1
kamaradaDavid,groninty,Directed,189,,,1
kamaradaDavid,LassoGuillermo,Directed,190,,,1
kamaradaDavid,fabriciovelav,Directed,195,,,1
kamaradaDavid,AlmacenesPycca,Directed,197,,,3
kamaradaDavid,bosscec,Directed,198,,,1
kamaradaDavid,mcastropatio,Directed,199,,,1
kamaradaDavid,lgrobalino,Directed,200,,,1
kamaradaDavid,csr_costa,Directed,203,,,1
kamaradaDavid,Evyrca,Directed,204,,,1
kamaradaDavid,RuthdelSalto,Directed,205,,,1
kamaradaDavid,AlvearCarlos,Directed,207,,,1
kamaradaDavid,Martinminguchi,Directed,208,,,1
Marckittox,LucioGutierrez3,Directed,210,,,2
Marckittox,AlmaMiaEcu,Directed,211,,,1
Marckittox,soleangusfr,Directed,212,,,1
Marckittox,ecuarauz,Directed,214,,,3
fabian1_of,ecuavisa,Directed,217,,,1
fabian1_of,tctelevision,Directed,218,,,1
fabian1_of,teleamazonasec,Directed,219,,,1
fabian1_of,Gamavisionecu,Directed,220,,,1
fabian1_of,MashiRafael,Directed,221,,,1
Fresitaa_27,ecuarauz,Directed,222,,,1
Fresitaa_27,MashiRafael,Directed,223,,,1
Fresitaa_27,LassoSX,Directed,224,,,1
Fresitaa_27,ajungbluth,Directed,225,,,1
chapuleroes,AlmaMiaEcu,Directed,226,,,1
chapuleroes,figuer_jef,Directed,227,,,1
chapuleroes,ramiroaguilart,Directed,228,,,2
chapuleroes,GinaMariaJimen2,Directed,229,,,1
chapuleroes,FernandoCasadoG,Directed,230,,,1
chapuleroes,ecuarauz,Directed,231,,,1
chapuleroes,RonSangines,Directed,232,,,1
chapuleroes,RutaKritica,Directed,233,,,1
chapuleroes,LassoGuillermo,Directed,234,,,1
chapuleroes,fabriciovelav,Directed,236,,,1
chapuleroes,TMT30_,Directed,237,,,1
chapuleroes,literatango,Directed,238,,,1
chapuleroes,CrisRoseroR,Directed,239,,,1
chapuleroes,alexismoncayo,Directed,240,,,1
chapuleroes,JacoboG_Ecu,Directed,241,,,1
sebas_melendrez,EReinosoN,Directed,242,,,1
sebas_melendrez,malulyoliva,Directed,243,,,1
IgualdadYa1,consuemary,Directed,244,,,1
Alberto14266132,parischiquitoo,Directed,245,,,1
Alberto14266132,marcelaguinaga,Directed,246,,,1
Alberto14266132,sur_gente,Directed,247,,,1
Alberto14266132,SurGenteGuayas,Directed,248,,,1
Alberto14266132,LeoBerrezueta,Directed,249,,,1
Alberto14266132,PepeGalvezEC,Directed,250,,,1
Alberto14266132,MashiRafael,Directed,251,,,3
Alberto14266132,marcelaholguin,Directed,252,,,2
Alberto14266132,ecuarauz,Directed,253,,,3
Alberto14266132,rabascallcarlos,Directed,255,,,1
Alberto14266132,nelsonesteban76,Directed,256,,,1
Alberto14266132,PatriaLibreEc,Directed,258,,,1
Alberto14266132,PovedaBriones,Directed,260,,,1
Alberto14266132,pierinaescorrea,Directed,262,,,1
Alberto14266132,LuisaGonzalezEc,Directed,264,,,1
Alberto14266132,SofiaEspinRC,Directed,265,,,1
ericka20milla,jcarlosaizprua,Directed,266,,,1
ichbinAC,ecuarauz,Directed,267,,,1
AleDeMora7615,ECU911Machala1,Directed,268,,,1
theomorales,salva8915,Directed,269,,,1
theomorales,Douglas70888444,Directed,270,,,1
theomorales,EmelecAmorAzul,Directed,271,,,1
Drjuanca,PichinchaEnVivo,Directed,272,,,1
Drjuanca,pichinchauniver,Directed,273,,,1
Drjuanca,ecuarauz,Directed,274,,,2
Drjuanca,xhervas,Directed,276,,,1
Drjuanca,LassoGuillermo,Directed,277,,,1
Mateoartiu,sebasmerizalde_,Directed,278,,,1
JorgeRojasCr,AmintaBuenanio,Directed,279,,,1
JorgeRojasCr,Roberto24695034,Directed,280,,,1
JorgeRojasCr,XimenaPena1,Directed,281,,,1
JorgeRojasCr,Lenin,Directed,282,,,1
JorgeRojasCr,LassoGuillermo,Directed,283,,,1
JorgeRojasCr,BancoGuayaquil,Directed,284,,,1
JorgeRojasCr,piedypv,Directed,285,,,1
JorgeRojasCr,karitupl_,Directed,286,,,1
JorgeRojasCr,MashiRafael,Directed,287,,,1
JorgeRojasCr,ecuarauz,Directed,288,,,1
JorgeRojasCr,alemoralesm,Directed,289,,,1
84AndreaPerrone,ecuarauz,Directed,290,,,4
84AndreaPerrone,KikiFlresMrtnz,Directed,291,,,1
84AndreaPerrone,JEPERS7,Directed,292,,,2
84AndreaPerrone,natencioalvarez,Directed,296,,,1
mauroojedabsc,XavierOZevallos,Directed,298,,,1
mauroojedabsc,HuguitoECU,Directed,299,,,2
mauroojedabsc,MateoMartinezAb,Directed,300,,,2
mauroojedabsc,jowohlgemuth,Directed,303,,,1
mauroojedabsc,pjfreile,Directed,304,,,1
diegoalban,MaJosefaCoronel,Directed,305,,,1
diegoalban,aletimartinez,Directed,306,,,1
diegoalban,carobalverdi,Directed,307,,,1
diegoalban,Odiadoporopinar,Directed,308,,,1
SalvaFonseca,davidaguirrep,Directed,309,,,1
SalvaFonseca,StudioFutbol,Directed,310,,,1
rogmos,GabyJurado7,Directed,311,,,3
rogmos,AlvaroRiera24,Directed,312,,,2
rogmos,CSEmelec,Directed,313,,,2
rogmos,jamolestina,Directed,314,,,2
rogmos,gisellabuendia,Directed,315,,,2
rogmos,ccarrasco750,Directed,316,,,2
rogmos,pilumeneses,Directed,317,,,2
rogmos,karolinadavilac,Directed,319,,,2
rogmos,PatoCornejo,Directed,320,,,2
rogmos,AntonioUbilla1,Directed,321,,,2
rogmos,gallardogerman,Directed,322,,,2
rogmos,joacosaavedraq,Directed,323,,,2
rogmos,guaroscafe,Directed,324,,,1
rogmos,solepatinoa,Directed,337,,,1
rogmos,Mediagalleta,Directed,338,,,1
msyp1987,washingtonbata3,Directed,339,,,5
msyp1987,CarlosVerareal,Directed,340,,,5
msyp1987,La_chica_velcro,Directed,343,,,1
msyp1987,farizzio,Directed,344,,,1
msyp1987,estebanavila,Directed,345,,,1
msyp1987,uscocovich1972,Directed,348,,,13
msyp1987,solepatinoa,Directed,349,,,13
msyp1987,ayalgeorge80,Directed,350,,,3
msyp1987,fabriciovelav,Directed,360,,,1
msyp1987,ClaudiaRoura,Directed,361,,,1
msyp1987,5_elizabet,Directed,363,,,3
msyp1987,ismaelquintanag,Directed,381,,,1
msyp1987,ilogicoec,Directed,382,,,1
msyp1987,ecuarauz,Directed,383,,,1
msyp1987,CrisRoseroR,Directed,384,,,1
msyp1987,pcaicedoare,Directed,385,,,1
msyp1987,MorenaMia2020,Directed,386,,,1
msyp1987,mariasolborja,Directed,392,,,1
FrankSamaniegoM,ecuarauz,Directed,393,,,5
FrankSamaniegoM,24Fis,Directed,394,,,1
FrankSamaniegoM,PaolaPabonC,Directed,396,,,1
FrankSamaniegoM,MajitoCandonga,Directed,397,,,1
FrankSamaniegoM,AndrsChano1,Directed,398,,,1
FrankSamaniegoM,MashiRafael,Directed,400,,,2
FrankSamaniegoM,rabascallcarlos,Directed,404,,,1
Charlie_wind,javierfma,Directed,405,,,1
Charlie_wind,EcuadorVideo1,Directed,406,,,1
Charlie_wind,ecuadortr,Directed,407,,,1
ivonnelago,luistorresamaya,Directed,408,,,1
ivonnelago,Charly360CG,Directed,409,,,1
ivonnelago,solepatinoa,Directed,410,,,1
ivonnelago,SaraEspana,Directed,411,,,1
yoilerb82,aurysofia,Directed,412,,,1
yoilerb82,MarcoAnibal,Directed,413,,,1
geochambers,ecuarauz,Directed,414,,,4
geochambers,MashiRafael,Directed,415,,,5
geochambers,Danielsalcan88,Directed,416,,,3
geochambers,yakuperezg,Directed,417,,,1
geochambers,VLandetta,Directed,418,,,1
geochambers,nestorvalle8801,Directed,419,,,2
geochambers,PedritoExtranja,Directed,421,,,1
geochambers,chriseducastro,Directed,422,,,1
geochambers,tioelmoi,Directed,423,,,1
geochambers,ATMGuayaquil,Directed,424,,,1
geochambers,luisantonio_r,Directed,425,,,1
geochambers,ACervantes_EC,Directed,426,,,1
geochambers,Pibismrevoluti1,Directed,427,,,2
geochambers,rakellypy,Directed,428,,,1
geochambers,karitupl_,Directed,429,,,1
geochambers,Karen41533714,Directed,430,,,1
geochambers,AlbertoAcostaE,Directed,433,,,1
geochambers,SalimZaidan,Directed,434,,,1
geochambers,RafaelCompte,Directed,435,,,1
geochambers,AP_Kost,Directed,436,,,1
geochambers,MarcoAnibal,Directed,438,,,2
geochambers,fmmundo,Directed,439,,,1
geochambers,benarquitecto,Directed,441,,,1
geochambers,elnoticierotc,Directed,442,,,1
geochambers,mabsegovia,Directed,443,,,1
geochambers,EcuavisaInforma,Directed,445,,,1
geochambers,silvitabuendia,Directed,446,,,2
geochambers,nelsonesteban76,Directed,449,,,1
geochambers,LassoGuillermo,Directed,451,,,1
geochambers,PrimeraPlanaECU,Directed,452,,,1
geochambers,connection53,Directed,453,,,1
geochambers,EmilyVeraA_,Directed,455,,,1
geochambers,RonnyAleagaS,Directed,456,,,1
geochambers,VickyDesintonio,Directed,459,,,1
geochambers,LeonardoQuirozL,Directed,460,,,1
geochambers,MagdaRoblesL,Directed,461,,,1
geochambers,JorgeVelezVelez,Directed,462,,,1
geochambers,MireyaG33612517,Directed,463,,,1
geochambers,chinto_maciasp,Directed,464,,,1
geochambers,Sandinin,Directed,465,,,1
geochambers,perjudicado2010,Directed,466,,,3
geochambers,filosofooscuro,Directed,469,,,1
geochambers,esantos1957,Directed,470,,,1
geochambers,radiolacalle,Directed,471,,,1
geochambers,amandaasubiar,Directed,472,,,1
geochambers,_Illaritika,Directed,474,,,1
geochambers,IsmaelUlloaEc,Directed,475,,,1
geochambers,mafernandadm,Directed,476,,,1
geochambers,Monsesilla14,Directed,477,,,1
geochambers,diana_moranc,Directed,478,,,1
andress1982,eluniversocom,Directed,479,,,1
DAMASIOSANTOS,ecuarauz,Directed,480,,,1
DAMASIOSANTOS,dolarizacionEc,Directed,481,,,1
DAMASIOSANTOS,adam_tooze,Directed,482,,,1
xhervas,Antoniovaldez99,Directed,483,,,1
xhervas,cnegobec,Directed,484,,,3
xhervas,LaPosta_Ecu,Directed,485,,,1
xhervas,GKecuador,Directed,486,,,1
xhervas,Primicias,Directed,487,,,1
xhervas,EspaciadoraBar,Directed,488,,,1
xhervas,MigueLoaizaC,Directed,489,,,1
xhervas,fridayorke,Directed,490,,,1
xhervas,alesscooknbake,Directed,491,,,1
xhervas,LassoGuillermo,Directed,492,,,3
xhervas,GuillermoCeli,Directed,493,,,1
xhervas,AparicioCaicedo,Directed,494,,,1
xhervas,ACampanaRemache,Directed,497,,,1
xhervas,Mariasolecita,Directed,498,,,1
xhervas,xhervas,Directed,499,,,4
xhervas,sybelmartinez,Directed,500,,,1
xhervas,GingerAlejandr0,Directed,501,,,1
xhervas,DianaIMaldonado,Directed,503,,,1
xhervas,ecuadorprensaec,Directed,505,,,2
xhervas,lahoraecuador,Directed,508,,,1
xhervas,mariasolborja,Directed,510,,,1
xhervas,RonnyHC20,Directed,511,,,1
xhervas,SalaDePrensaEc,Directed,512,,,1
xhervas,BYRONSANCHEZG,Directed,513,,,1
xhervas,XavierBon99,Directed,514,,,2
xhervas,silvitabuendia,Directed,515,,,3
xhervas,srpichonpichon,Directed,516,,,3
xhervas,turcacat,Directed,517,,,3
xhervas,AlexdeEdm,Directed,522,,,1
xhervas,saulbozabenalc1,Directed,523,,,1
xhervas,Lenin62311360,Directed,524,,,1
xhervas,marcosdoge,Directed,525,,,1
xhervas,gabrielcassis,Directed,530,,,1
xhervas,migaceya,Directed,531,,,1
RoqueOrdone,MashiRafael,Directed,532,,,1
RoqueOrdone,ecuarauz,Directed,533,,,3
RoqueOrdone,Tranvia_Cuenca,Directed,534,,,1
RoqueOrdone,MunicipioCuenca,Directed,535,,,1
reneitor3,elcomerciocom,Directed,538,,,1
reneitor3,paul_av13,Directed,539,,,1
reneitor3,xhervas,Directed,540,,,2
reneitor3,LassoGuillermo,Directed,541,,,2
jsburneo,PilaruQUis,Directed,544,,,1
CrespoArevalo7,KarliiRR,Directed,545,,,1
CrespoArevalo7,Rodrigoperiodis,Directed,546,,,1
CrespoArevalo7,manungovaldez,Directed,547,,,1
CrespoArevalo7,pedromal,Directed,548,,,1
CrespoArevalo7,AzuTaxi_,Directed,549,,,1
CrespoArevalo7,loregenoveva,Directed,550,,,1
CrespoArevalo7,jpachecoe,Directed,551,,,1
CrespoArevalo7,fabarevaloj,Directed,552,,,1
AP_IEEPN,fmmundo,Directed,553,,,1
TaniaCris12,MashiRafael,Directed,554,,,1
TaniaCris12,Monchiito_,Directed,555,,,1
marco_oquendo,janethinostroza,Directed,556,,,1
marco_oquendo,dcabellor,Directed,557,,,1
marco_oquendo,PatricioAlarco2,Directed,558,,,1
marco_oquendo,cnegobec,Directed,559,,,1
marco_oquendo,rabascal,Directed,560,,,1
marco_oquendo,cesarlitardo,Directed,561,,,1
marco_oquendo,maemontanov,Directed,562,,,1
marco_oquendo,AsambleaEcuador,Directed,563,,,1
marco_oquendo,marquinhoa,Directed,564,,,1
marco_oquendo,AbAlvaroNoboa,Directed,565,,,1
marco_oquendo,lizvalarezo,Directed,566,,,1
marco_oquendo,pjfreile,Directed,567,,,1
Galoenquito,TAVODEPONCE,Directed,568,,,1
Galoenquito,isidroromero_c,Directed,569,,,1
Galoenquito,eduizurieta1,Directed,570,,,1
fredylobato,angelrafaEG,Directed,571,,,2
fredylobato,CineOrquidea,Directed,572,,,1
fredylobato,ChechiAlvarado,Directed,573,,,1
fredylobato,djaramillob,Directed,574,,,1
fredylobato,xhervas,Directed,575,,,2
fredylobato,pjfreile,Directed,576,,,1
fredylobato,christian_16ec,Directed,577,,,3
fredylobato,DianaIMaldonado,Directed,578,,,2
fredylobato,UNESCO_es,Directed,579,,,1
fredylobato,carlos_e_flores,Directed,580,,,1
fredylobato,RuthdelSalto,Directed,582,,,1
fredylobato,fredylobato,Directed,583,,,3
fredylobato,GuevPedro,Directed,584,,,1
fredylobato,FEquidad,Directed,585,,,3
fredylobato,SalimZaidan,Directed,587,,,1
fredylobato,GKecuador,Directed,589,,,1
fredylobato,cnegobec,Directed,591,,,1
fredylobato,yali_loaiza,Directed,593,,,1
fredylobato,rosannaoficial,Directed,596,,,1
fredylobato,ChezkoArguero,Directed,597,,,1
fredylobato,rodolfoasar,Directed,598,,,1
fredylobato,vladycruz,Directed,601,,,1
fredylobato,emilio_braveman,Directed,602,,,1
fredylobato,ecopiniones,Directed,603,,,1
fredylobato,ecuarauz,Directed,604,,,1
JustefytaLover,VirusTota,Directed,605,,,1
JustefytaLover,gabyc0908,Directed,606,,,1
belenproanio,danielec7,Directed,607,,,1
Paoaladina,RuthdelSalto,Directed,608,,,1
Paoaladina,ajungbluth,Directed,609,,,1
Paoaladina,TheMerryPie1,Directed,610,,,2
Paoaladina,dieguitocazar,Directed,612,,,1
Paoaladina,malulyoliva,Directed,613,,,1
richardpr8,ecuarauz,Directed,614,,,6
richardpr8,wilfridolaz,Directed,615,,,3
richardpr8,BrunoFelipeO9,Directed,616,,,1
richardpr8,amandinhamarton,Directed,617,,,1
richardpr8,Lenin,Directed,618,,,1
richardpr8,piedypv,Directed,619,,,1
richardpr8,RuthdelSalto,Directed,620,,,1
richardpr8,jpjaramillo25,Directed,622,,,2
richardpr8,monadeurdesa,Directed,624,,,1
richardpr8,juanfervelasco,Directed,625,,,2
richardpr8,KinttoLucas,Directed,627,,,1
richardpr8,yakuperezg,Directed,629,,,1
richardpr8,mrjohnkeating,Directed,630,,,2
richardpr8,literatango,Directed,633,,,1
richardpr8,amandaasubiar,Directed,634,,,1
richardpr8,DrDavidMenendez,Directed,635,,,1
richardpr8,IsmaelUlloaEc,Directed,636,,,1
richardpr8,MaiadelC,Directed,641,,,2
richardpr8,angelargocom,Directed,642,,,1
richardpr8,angiegomeza,Directed,644,,,1
ASandovalEC,RoberCastillo_A,Directed,645,,,1
juansleony,PaulCarrascoC,Directed,646,,,1
juansleony,LucioGutierrez3,Directed,647,,,1
juansleony,GersonAlmeidaEc,Directed,648,,,1
juansleony,guillen_blanchy,Directed,649,,,1
juansleony,LassoGuillermo,Directed,650,,,1
juansleony,isidroromero_c,Directed,651,,,2
estemandejulio,xhervas,Directed,653,,,2
estemandejulio,Karnecita,Directed,654,,,1
estemandejulio,JoseduVeliz79,Directed,655,,,3
estemandejulio,ajungbluth,Directed,657,,,1
estemandejulio,mbff87,Directed,658,,,1
estemandejulio,revistavistazo,Directed,660,,,1
estemandejulio,salatihel_ec,Directed,661,,,1
estemandejulio,Guayaco__2020,Directed,662,,,1
estemandejulio,vkarauz,Directed,663,,,1
estemandejulio,monicabanegasc,Directed,664,,,1
estemandejulio,jpjaramillo25,Directed,666,,,1
estemandejulio,LassoGuillermo,Directed,667,,,2
estemandejulio,carlosluis22m,Directed,668,,,1
estemandejulio,klevilla,Directed,670,,,1
GuillermoCeli,verosevillaec,Directed,671,,,4
GuillermoCeli,ecuarauz,Directed,675,,,1
fdavaloso,LOCOTEF,Directed,676,,,1
fdavaloso,VirusTota,Directed,677,,,1
fdavaloso,JacoboG_Ecu,Directed,678,,,1
fdavaloso,KarenAponteS,Directed,679,,,1
fdavaloso,carlosrojasecu,Directed,680,,,1
fdavaloso,Josei_Vm,Directed,681,,,1
fdavaloso,franciscoxloza,Directed,682,,,1
fdavaloso,Erbm98,Directed,683,,,2
fdavaloso,acdavalost,Directed,685,,,1
fdavaloso,SalimZaidan,Directed,686,,,1
fdavaloso,Juaniturralde70,Directed,687,,,1
fdavaloso,turcacat,Directed,688,,,1
fdavaloso,FRM87,Directed,689,,,1
afmerchan,jviscarr,Directed,690,,,1
Ricardoc_85,yakuperezg,Directed,691,,,1
Ricardoc_85,PatricioJijonL1,Directed,692,,,1
Ricardoc_85,vhibague,Directed,693,,,1
Ricardoc_85,LassoGuillermo,Directed,694,,,1
Ricardoc_85,BancoGuayaquil,Directed,695,,,1
Ricardoc_85,ecuadortr,Directed,696,,,1
IsAvellan,yakuperezg,Directed,697,,,3
cecipachay1,RuthdelSalto,Directed,700,,,1
cecipachay1,ecuarauz,Directed,701,,,4
cecipachay1,amandaasubiar,Directed,703,,,1
cecipachay1,alfonso69349391,Directed,704,,,1
cecipachay1,Pibismrevoluti1,Directed,705,,,1
cecipachay1,JonathanJo3star,Directed,706,,,1
cecipachay1,karitupl_,Directed,707,,,1
cecipachay1,wilfridolaz,Directed,708,,,3
cecipachay1,tioelmoi,Directed,710,,,1
cecipachay1,CarlitosGros,Directed,711,,,1
cecipachay1,pichinchauniver,Directed,713,,,1
cecipachay1,LassoGuillermo,Directed,714,,,3
cecipachay1,CarlosVerareal,Directed,715,,,1
cecipachay1,cnegobec,Directed,716,,,1
cecipachay1,64W48,Directed,717,,,1
cecipachay1,literatango,Directed,718,,,1
cecipachay1,marcelaguinaga,Directed,719,,,1
cecipachay1,cristinajacomee,Directed,720,,,1
cecipachay1,MashiRafael,Directed,721,,,2
cecipachay1,SomoSpumilla,Directed,724,,,1
cecipachay1,Intavit_A,Directed,726,,,1
cecipachay1,lizzhingri,Directed,727,,,1
cecipachay1,LeoOrlandoA,Directed,729,,,1
cecipachay1,Fressiav,Directed,730,,,1
cecipachay1,goloor1906,Directed,731,,,1
cecipachay1,AndreinaRuizG,Directed,732,,,1
cecipachay1,DiegoArcos14,Directed,733,,,1
ByCaiP,chris_monbarce,Directed,735,,,6
ByCaiP,luisantonio_r,Directed,737,,,1
