fecha,separador,user,separador,texto,separador,ubicacion
2021-01-10T01:33:01.000Z,|,ecuadorplayec,|,"Comenzó el #DebatePresidencial2021.
Isidro Romero reclamó a Guillermo Lasso porque no lo saludó y lo dejó con la mano extendida: ""La próxima vez te castigaré como un muchacho malcriado"", le dijo.

#Quito #Ecuador #Guayaquil",|,No data
2021-01-17T15:49:33.000Z,|,xhervas.ec,|,"Me encanta que entre todos los candidatos tengamos coincidencias, este 7 de febrero los ecuatorianos tenemos la oportunidad de recuperar el país y dejar de lado la desunión a la que nos han llevado.
#ecuadordebate2021 #debatepresidencial2021 🇪🇨",|,No data
2021-01-10T18:39:52.000Z,|,rostrosec,|,"“La próxima vez te castigaré como un muchacho malcriado”, dijo el candidato Isidro Romero, en alusión a Guillermo Lasso, por no haberle respondido el saludo de apretón de manos, cuando inicio del Debate Presidencial 2021.

👉Ante las cámaras, el candidato de CREO esbozó una sonrisa mientras Romero, presidencial de Avanza, se quejaba porque no lo había saludado. “A mi nadie me deja de saludar”, dijo Romero, de 78 años.

🗣La reacción de Lasso, de 65 años, llegó al final del Debate, organizado la noche de este sábado 9 de enero del 2021 por EL COMERCIO Y TVC. El banquero contuvo dos horas la repuesta y la descargó cuando el evento terminó: “Cómo voy a dar la mano a un tipo que me ha maltratado”, expresó el candidato delante de los periodistas del diario, sus guardaespaldas y quienes lo rodearon.

📸: EL COMERCIO.

•
#DebatePresidencial2021 #GuillermoLasso #IsidroRomeroCarbo #Ecuador",|,No data
2021-01-11T04:33:03.000Z,|,xhervas.ec,|,"#debatepresidencial2021 🇪🇨
Quiero agradecer a todos por sus mensajes y comentarios de apoyo durante el Debate.
#xavierhervaspresidente",|,No data
2021-01-10T03:45:58.000Z,|,elcomerciocom,|,"Los candidatos presidenciales hablaron de sus propuestas sobre economía, empleo y producción en el #debatepresidencial2021
.
.
¿Con cuál te quedas? 🤔",|,No data
2021-01-17T05:10:10.000Z,|,diarioextra,|,"¡Aprendan amigos! #DebatePresidencial2021
.
Todos los memes del último debate presidencial encuéntralos en www.extra.ec",|,No data
2021-01-11T03:28:45.000Z,|,elcomerciocom,|,"#DebateEC Candidatos presidenciales expusieron sus propuestas de economía, empleo y producción en el #DebatePresidencial2021. ¿Te llamó la atención alguno? 🤔",|,No data
2021-01-17T02:57:50.000Z,|,elcomerciocom,|,"#DebatePresidencial2021 Ocho de los 16 candidatos a la Presidencia ya se presentaron en el primer bloque del #EcuadorDebate2021 del CNE. Estas son sus propuestas, por orden de aparición",|,No data
2021-01-17T04:56:18.000Z,|,chulla515,|,"La fregó 🤦‍♂️
#DebatePresidencial2021",|,No data
2020-10-22T15:24:27.000Z,|,telemundo,|,"🇺🇸 Esta noche será el último y decisivo #DebatePresidencial entre #Trump y #Biden. ⁠
⁠
Únete a nuestra cobertura en vivo y en español en @noticiastelemundo⁠
⁠
🗓 Esta noche a las ⏰ 8pm ET/ 5PT⁠
📺 Al aire y en plataformas digitales⁠
⁠
#Decision2020 #LasCosasComoSon #elecciones2020 #MasDeTelemundo",|,No data
2020-09-29T15:02:41.000Z,|,telemundo,|,"🇺🇸 #Decision2020: @realDonaldTrump y @JoeBiden se preparan para su cara a cara en el primer #DebatePresidencial.

Sigue nuestra cobertura en español en @noticiastelemundo o haz click en la Bio 🔗

🕗 8pm / 7C

#Elecciones2020 #PresidentialDebate2020 #MasDeTelemundo",|,No data
2021-01-17T04:12:31.000Z,|,jorgevelezvelez,|,Bien #MipanaAndrés !#debatepresidencial #Ecuador @cendemocratico @ecuarauz,|,No data
