texto,url-post
"Photo by B  O  O  K  E  H  📸 on January 24, 2021. La imagen puede contener: una o varias personas, personas en el escenario y exterior.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c241.0.958.958a/s640x640/141433669_3052735948287065_918395978597247867_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=0tokAc3C0AsAX_gspdy&tp=1&oh=c0b18ac5cf094a658a78449952aba803&oe=6035FE6F
"Photo by Tecnológico Argos on January 24, 2021. La imagen puede contener: texto que dice ""TECNOLÃ“GICO UNIVERSITARIO A ARGOS ELECCIONES GENERALES CNE NACIONAL ELECTORAL Se comunica los Miembros de Junta Receptora del Voto nombramiento entregado por CNE, que estamos capacitando de manera presencial con los debidos protocolos bio seguridad, en Universidad Agraria, junto Riocentro Sur (en el nuevo edificio de Facultad Veterinaria), Universidad de Guayaquil (Carrera de Ingeniería en Sistemas Computacionales Networking- Victor Manuel Rendón entre Baquerizo Moreno Córdova) Universidad Laica, durante los siguientes horariosde Lunes Viernes: 09h00 a 11h00 11h00 *14h00 a 13h00 16h00 Recordamos que también puede capacitarse de manera virtual, ingresando"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141650775_2423772607766640_1471059343013296094_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=NioPp1uRXiQAX-Y0Nys&tp=1&oh=73a3d98f050d7a43fb8910d744873b41&oe=6036F10F
"Photo by Escuteiros do Núcleo da Barra on January 24, 2021. La imagen puede contener: 3 personas, exterior, texto que dice ""DIA INTERNACIONAL DA EDUCAÇÃO B"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141813511_238653617931369_5511688523208368720_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=leO1xuuP5SwAX9STBqQ&tp=1&oh=8ead3312d3c08cc16b1ce9003edea61a&oe=6036C9A6
"Photo by Rūta in Toronto, Ontario. La imagen puede contener: una o varias personas, personas de pie, cielo y exterior.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/142371379_418684756010879_1729823578751283339_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=s-UDUEpm1NgAX-Z9Jcn&tp=1&oh=d7cf50ef380623c228f6b4b432c63e3c&oe=60379A74
"Photo by El Oriental on January 24, 2021. La imagen puede contener: texto que dice ""elorientaldemonagas.com LOE EO QUE ELEGIRÁ CANDIDATOS AL PODER ELECTORAL AN CONVOCÃ“ POSTULACIONES AL COMITÉ"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141749304_422402905546326_917075315906734725_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=vhmeWwbmhq8AX8pTd5x&tp=1&oh=e8faf052b3fa3ab252746114ea61812f&oe=60367DD8
"Photo by Comisión Nacional de Casinos on January 24, 2021. La imagen puede contener: una o varias personas y exterior.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/142215138_340857183624741_2047632552097536725_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=QNVTQQFVQNUAX84SheU&tp=1&oh=9ce496bf6cb4e0aeeb7b31d0bd2d8905&oe=6038697D
"Photo by La Gazzetta del Zángano on January 24, 2021. La imagen puede contener: 1 persona, texto que dice ""ATENCIÃ“N nocp MORENO LLENÃ“ AL CNE DE SUS AMIGOS PARA LAS ELECCIONES 2021 f Gazzetta Zángano.COM"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141591390_141497951034201_4513310895832847004_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=saZOXKCDUUsAX8vfDLa&tp=1&oh=a838997361c9470c9bae4861ec295519&oe=6037C69C
"Photo by Kaitlin Sicile Papandrea on January 24, 2021. La imagen puede contener: 1 persona, comida.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141192551_517351485902786_4161862029063306409_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=nIAVc9hN3sQAX9_myy6&tp=1&oh=99e069bc281b29010f54fc03860b1e50&oe=6038D5BE
"Photo by Primera Noticia in Venezuela estado-falcon. La imagen puede contener: 1 persona, exterior, texto que dice ""NACIONALES Se tendrá nuevo CNE entre marzo y abril 8 Redacción cción Web enero 24, 2021 Elecciones Venezuela venezuela No hay comentarios"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141729422_114092040609237_2216439968730702508_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=uFyQGdddGH4AX-O4sym&tp=1&oh=17a62615a260784fea76cee7b4ad5c0c&oe=60371F65
"🔴 SIMULACRO DEL CNE INCLUYÓ ACCIONES FRENTE A POSIBLE TOMA DE DELEGACIÓN O RECINTO ELECTORAL

A diferencia de la elecciones pasadas, esta vez el Consejo Nacional Electoral (CNE) implementó un simulacro para medir la respuesta en caso de incidentes y toma de delegación provincial o de un recinto electoral.

Militares y grupos especializados de la Policía Nacional participaron de un ejercicio en el que simpatizantes de organizaciones políticas intentaban llevarse las urnas de los recintos y las actas de la delegación provincial.
 @revistacaskabel 
Texto: @emiliasanchezec 
Video: @orellana_72 

#RevistaCaskabel #Política #CNE #SimulacroElectoralEc #Guayaquil #Guayas #Ecuador",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/141466742_226645289167666_6569452174014733551_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0n-Z0EvQunIAX930pz-&tp=1&oh=a6511b3fad85f98752aaddd911b2ece2&oe=6010590A
