Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
LuisMauretLeon,,,16,0.132075,0.164601,0,29,0,9,9
pilijarrin,,,0,0,0,0,29,2,0,2
GuillermoCeli,,,1,1,1,6888.425097,29,270,2,272
verosevillaec,,,0,0,0,0,29,54,1,55
ecuarauz,,,0,0,0,0,4,4311,0,4311
IderValverde,,,15,0.143201,0.184551,1620.22233,29,2,10,12
SandraHidalgoEC,,,15,0.142919,0.179955,6442.462815,29,11,6,17
ElNegroHojas,,,15,0.138126,0.164064,153.597006,29,1,2,3
mauriciosalemec,,,2,0.6,0.666667,0,29,1,1,2
23Suma,,,2,0.75,0.833333,11.487179,29,3,2,5
Intavit_A,,,15,0.166129,0.235,23.120635,137,1,20,21
Marckittox,,,16,0.148728,0.194625,612.797876,4,6,4,10
Danielsalcan88,,,0,0,0,0,137,2,0,2
juanmarpaz,,,0,0,0,0,137,1,0,1
AliciaJBenitez1,,,0,0,0,0,137,1,0,1
piedypv,,,14,0.169055,0.234748,114867.812617,4,45,14,59
PabloCastilloM,,,1,1,1,0,137,1,1,2
AlmaMiaEcu,,,15,0.160899,0.229788,508808.726709,4,150,19,169
Rebelde2020Mai,,,1,1,1,0.111111,4,12,1,13
SDegreace,,,14,0.163964,0.214303,127061.370472,4,227,8,235
raisa_vulgarin,,,1,1,1,14.384524,4,34,2,36
RuthdelSalto,,,0,0,0,0,4,217,0,217
atitedigo67,,,0,0,0,0,137,1,0,1
fabriciovelav,,,0,0,0,0,4,58,0,58
MiguPar,,,0,0,0,0,137,1,0,1
NTN24,,,0,0,0,0,137,1,0,1
jlfernandez,,,0,0,0,0,137,1,0,1
ChuckBerry50s,,,0,0,0,0,137,1,0,1
cecipachay1,,,14,0.187658,0.26796,174.493915,137,1,27,28
lizzhingri,,,20,0.108448,0.144916,49.263165,137,3,2,5
Ec1EcE,,,16,0.145703,0.207682,0,26,0,22,22
RenegadoGye,,,1,1,1,1,26,1,2,3
MaryRom33170612,,,23,0.079304,0.092737,2,26,1,1,2
el_telegrafo,,,17,0.131158,0.168799,72581.018632,9,104,5,109
LassoGuillermo,,,0,0,0,0,26,834,0,834
CREOEcuador,,,0,0,0,0,26,16,0,16
elcomerciocom,,,0,0,0,0,112,370,0,370
isidroromero_c,,,1,1,1,527.767544,3,258,1,259
justicevera25,,,21,0.093948,0.116952,768.779365,3,5,2,7
AsambleaEcuador,,,0,0,0,0,26,17,0,17
cesarlitardo,,,20,0.103487,0.132782,909.833333,26,4,2,6
LucioGutierrez3,,,19,0.114795,0.154038,229607.196776,26,109,2,111
MashiRafael,,,15,0.134843,0.172663,1552354.559606,4,810,9,819
cnegobec,,,0,0,0,0,3,439,0,439
fabriciocorread,,,0,0,0,0,9,3,0,3
natyco,,,0,0,0,0,26,2,0,2
SalimZaidan,,,19,0.119849,0.172679,30591.949756,7,62,5,67
Gabybuchelip,,,22,0.086207,0.104647,1313.833333,27,8,2,10
FiscaliaEcuador,,,0,0,0,0,3,14,0,14
DianaSalazarM2,,,0,0,0,0,3,6,0,6
CNACEcuador,,,0,0,0,0,181,2,0,2
LoroHomero,,,0,0,0,0,56,15,0,15
CesarCoronelEc,,,1,1,1,0,0,0,2,2
jeffsanguna,,,0,0,0,0,0,1,0,1
LATAM_ECU,,,0,0,0,0,0,1,0,1
KevinDavidQ,,,16,0.143604,0.205343,0,112,0,24,24
fernandoceronv,,,15,0.148269,0.199175,1339.757143,4,3,10,13
zamoramaria266,,,0,0,0,0,112,1,0,1
Mijael56736491,,,0,0,0,0,112,1,0,1
gaby_pareja,,,0,0,0,0,112,1,0,1
Tex2795,,,0,0,0,0,112,1,0,1
gabriel_landeta,,,0,0,0,0,176,3,0,3
MetroEcuador,,,0,0,0,0,112,23,0,23
krncita7,,,0,0,0,0,112,4,0,4
BelenEJS,,,0,0,0,0,112,1,0,1
Jorge_amarillo,,,0,0,0,0,112,1,0,1
Zambrano13Edu,,,0,0,0,0,112,1,0,1
ismaelquintanag,,,22,0.086163,0.104084,54.475,3,6,2,8
karennunezr,,,0,0,0,0,112,1,0,1
Albotermo,,,0,0,0,0,112,1,0,1
gabbarinista,,,0,0,0,0,112,1,0,1
rodavec65,,,0,0,0,0,112,1,0,1
soy_tibi,,,16,0.119342,0.145967,4,4,1,4,5
AndresSantosA,,,18,0.128205,0.166511,1021.032858,4,2,4,6
Doceloz,,,0,0,0,0,112,2,0,2
orlandojonatha2,,,0,0,0,0,112,2,0,2
Garyguevara23,,,0,0,0,0,112,2,0,2
GoverLeonCanto1,,,14,0.152639,0.203704,0,27,0,12,12
christianzr,,,0,0,0,0,27,119,0,119
martharoldos,,,1,1,1,0,27,1,2,3
rabascallcarlos,,,0,0,0,0,4,149,0,149
AP_Kost,,,13,0.166146,0.208691,1664.262853,7,5,6,11
PrensaDelBanano,,,0,0,0,0,27,3,0,3
monadeurdesa,,,13,0.174952,0.242924,1090773.891197,4,115,20,135
byronvicua,,,0,0,0,0,27,1,0,1
cubalondra,,,16,0.122171,0.153073,48847.218021,9,30,8,38
luisevivanco,,,0,0,0,0,181,33,0,33
Moniasper,,,16,0.135237,0.17149,2045.697619,2,2,6,8
UnoConPierina,,,16,0.123068,0.157987,7197.854704,4,25,9,34
nahomarcela15,,,1,1,1,13,2,1,1,2
MarcoAnibal,,,20,0.107083,0.139474,1833.110317,137,7,2,9
16Bauti,,,18,0.106242,0.125017,2287.652381,2,5,2,7
fjnunez90,,,21,0.098096,0.124514,0,181,0,2,2
NorwalkCurtis,,,20,0.108505,0.145879,641,181,1,3,4
LeoOrlandoE,,,1,1,1,0,1,0,1,1
Axlbarceguns,,,0,0,0,0,1,1,0,1
soyalico,,,15,0.157819,0.210667,0,4,0,9,9
Dr_PEMP,,,14,0.15542,0.206331,4814.472724,4,8,8,16
chrisviteri,,,2,0.8,0.875,2,4,1,3,4
luisesgo,,,1,1,1,21,2,6,2,8
omarmaluk,,,18,0.131404,0.201552,1984.795635,3,4,23,27
AbAlvaroNoboa,,,0,0,0,0,3,9,0,9
CIDH,,,0,0,0,0,4,8,0,8
AndresArauz2021,,,0,0,0,0,26,5,0,5
kamaradaDavid,,,14,0.178239,0.259654,0,26,0,27,27
PABLOJIJON,,,0,0,0,0,26,1,0,1
LibiaChaluisa,,,0,0,0,0,137,2,0,2
jpjaramillo25,,,16,0.149988,0.211953,264277.319512,4,451,15,466
xaguilarv,,,15,0.14165,0.181532,162420.218524,4,77,8,85
XimenaPena1,,,19,0.115211,0.160527,95567.067676,26,130,6,136
Lenin,,,0,0,0,0,2,68,0,68
RevelacionesEcu,,,1,1,1,1,26,2,1,3
GKecuador,,,21,0.093856,0.116037,44549.032069,3,207,1,208
ecuadorverifica,,,20,0.10351,0.138511,519746.936898,3,196,8,204
consuemary,,,13,0.187518,0.262867,5547.705737,4,19,19,38
cendemocratico,,,1,1,1,0.5,4,68,1,69
LuisBarrezuet13,,,1,1,1,26.166667,181,19,2,21
groninty,,,1,1,1,237.769048,26,264,3,267
AlmacenesPycca,,,0,0,0,0,26,2,0,2
bosscec,,,16,0.140205,0.203799,1866.395707,26,6,25,31
mcastropatio,,,0,0,0,0,26,1,0,1
lgrobalino,,,17,0.135152,0.182317,82.55,26,1,7,8
csr_costa,,,0,0,0,0,26,1,0,1
Evyrca,,,0,0,0,0,26,1,0,1
AlvearCarlos,,,1,1,1,0,26,1,1,2
Martinminguchi,,,0,0,0,0,137,16,0,16
soleangusfr,,,19,0.1194,0.166635,102175.131,7,134,1,135
fabian1_of,,,16,0.119791,0.147698,0,3,0,5,5
ecuavisa,,,1,1,1,6177.5,112,12,1,13
tctelevision,,,0,0,0,0,3,20,0,20
teleamazonasec,,,0,0,0,0,3,9,0,9
Gamavisionecu,,,0,0,0,0,3,2,0,2
Fresitaa_27,,,16,0.119722,0.146346,0,121,0,4,4
LassoSX,,,2,0.8,0.875,2658.206746,26,61,3,64
ajungbluth,,,0,0,0,0,121,36,0,36
chapuleroes,,,14,0.15302,0.210238,0,4,0,15,15
figuer_jef,,,6,0.360656,0.481818,1.5,4,1,4,5
ramiroaguilart,,,15,0.13773,0.173114,170359.072829,4,182,6,188
GinaMariaJimen2,,,17,0.131628,0.177819,110.260501,4,1,12,13
FernandoCasadoG,,,1,1,1,0,4,104,1,105
RonSangines,,,0,0,0,0,4,29,0,29
RutaKritica,,,1,1,1,1928.363874,26,83,1,84
TMT30_,,,0,0,0,0,4,62,0,62
literatango,,,2,0.846154,0.909091,38366.382912,4,340,10,350
CrisRoseroR,,,1,1,1,6290.447558,4,65,2,67
alexismoncayo,,,14,0.157869,0.204285,171889.570877,4,48,11,59
JacoboG_Ecu,,,15,0.137968,0.175678,24460.776227,4,56,9,65
sebas_melendrez,,,15,0.129896,0.152724,31.166667,176,2,2,4
EReinosoN,,,14,0.148743,0.183166,55136.081445,29,75,3,78
malulyoliva,,,0,0,0,0,7,67,0,67
IgualdadYa1,,,14,0.158116,0.196583,0,4,0,1,1
Alberto14266132,,,14,0.154963,0.207448,0,4,0,16,16
parischiquitoo,,,3,0.642857,0.759259,2.95,4,2,5,7
marcelaguinaga,,,1,1,1,251.853968,4,958,1,959
sur_gente,,,2,0.777778,0.857143,706.373016,4,39,5,44
SurGenteGuayas,,,3,0.666667,0.791667,2.15,4,3,5,8
LeoBerrezueta,,,3,0.583333,0.690476,7120.513492,4,44,3,47
PepeGalvezEC,,,0,0,0,0,4,1,0,1
marcelaholguin,,,0,0,0,0,4,245,0,245
nelsonesteban76,,,1,1,1,1.533333,137,3,1,4
PatriaLibreEc,,,0,0,0,0,56,4,0,4
PovedaBriones,,,14,0.154572,0.189871,457.721429,4,2,5,7
pierinaescorrea,,,0,0,0,0,4,6,0,6
LuisaGonzalezEc,,,17,0.107238,0.129766,6,48,1,6,7
SofiaEspinRC,,,14,0.16928,0.227096,104711.13735,4,90,8,98
ericka20milla,,,1,1,1,0,121,0,1,1
jcarlosaizprua,,,0,0,0,0,121,166,0,166
ichbinAC,,,1,1,1,0,4,0,1,1
AleDeMora7615,,,1,1,1,0,5,0,1,1
ECU911Machala1,,,0,0,0,0,5,1,0,1
theomorales,,,19,0.107541,0.133647,0,181,0,3,3
salva8915,,,18,0.119949,0.157707,653,181,1,6,7
Douglas70888444,,,0,0,0,0,181,1,0,1
EmelecAmorAzul,,,0,0,0,0,181,1,0,1
Drjuanca,,,19,0.120219,0.173623,0,9,0,5,5
PichinchaEnVivo,,,20,0.10356,0.136287,4228.454195,9,10,6,16
pichinchauniver,,,20,0.103712,0.1377,6967.107047,9,23,7,30
xhervas,,,18,0.135532,0.227112,1738848.392625,7,554,34,588
Mateoartiu,,,1,1,1,1,6,1,1,2
sebasmerizalde_,,,0,0,0,0,6,1,0,1
JorgeRojasCr,,,15,0.150199,0.202333,0,137,0,11,11
AmintaBuenanio,,,0,0,0,0,137,1,0,1
Roberto24695034,,,0,0,0,0,137,1,0,1
BancoGuayaquil,,,0,0,0,0,26,28,0,28
karitupl_,,,0,0,0,0,137,3,0,3
alemoralesm,,,0,0,0,0,137,1,0,1
84AndreaPerrone,,,1,1,1,0,4,0,4,4
KikiFlresMrtnz,,,0,0,0,0,4,1,0,1
JEPERS7,,,0,0,0,0,4,1,0,1
natencioalvarez,,,0,0,0,0,4,1,0,1
mauroojedabsc,,,21,0.098876,0.130992,0,121,0,5,5
XavierOZevallos,,,0,0,0,0,121,3,0,3
HuguitoECU,,,0,0,0,0,121,1,0,1
MateoMartinezAb,,,20,0.108818,0.149801,1942.583333,121,5,5,10
jowohlgemuth,,,0,0,0,0,121,1,0,1
